"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LIFEEXP","MEN","YR","A","1960",66.6,
"USA","LIFEEXP","MEN","YR","A","1961",67.1,
"USA","LIFEEXP","MEN","YR","A","1962",66.9,
"USA","LIFEEXP","MEN","YR","A","1963",66.6,
"USA","LIFEEXP","MEN","YR","A","1964",66.8,
"USA","LIFEEXP","MEN","YR","A","1965",66.8,
"USA","LIFEEXP","MEN","YR","A","1966",66.7,
"USA","LIFEEXP","MEN","YR","A","1967",67,
"USA","LIFEEXP","MEN","YR","A","1968",66.6,
"USA","LIFEEXP","MEN","YR","A","1969",66.8,
"USA","LIFEEXP","MEN","YR","A","1970",67.1,
"USA","LIFEEXP","MEN","YR","A","1971",67.4,
"USA","LIFEEXP","MEN","YR","A","1972",67.4,
"USA","LIFEEXP","MEN","YR","A","1973",67.6,
"USA","LIFEEXP","MEN","YR","A","1974",68.2,
"USA","LIFEEXP","MEN","YR","A","1975",68.8,
"USA","LIFEEXP","MEN","YR","A","1976",69.1,
"USA","LIFEEXP","MEN","YR","A","1977",69.5,
"USA","LIFEEXP","MEN","YR","A","1978",69.6,
"USA","LIFEEXP","MEN","YR","A","1979",70,
"USA","LIFEEXP","MEN","YR","A","1980",70,
"USA","LIFEEXP","MEN","YR","A","1981",70.4,
"USA","LIFEEXP","MEN","YR","A","1982",70.8,
"USA","LIFEEXP","MEN","YR","A","1983",71,
"USA","LIFEEXP","MEN","YR","A","1984",71.1,
"USA","LIFEEXP","MEN","YR","A","1985",71.1,
"USA","LIFEEXP","MEN","YR","A","1986",71.2,
"USA","LIFEEXP","MEN","YR","A","1987",71.4,
"USA","LIFEEXP","MEN","YR","A","1988",71.4,
"USA","LIFEEXP","MEN","YR","A","1989",71.7,
"USA","LIFEEXP","MEN","YR","A","1990",71.8,
"USA","LIFEEXP","MEN","YR","A","1991",72,
"USA","LIFEEXP","MEN","YR","A","1992",72.3,
"USA","LIFEEXP","MEN","YR","A","1993",72.2,
"USA","LIFEEXP","MEN","YR","A","1994",72.4,
"USA","LIFEEXP","MEN","YR","A","1995",72.5,
"USA","LIFEEXP","MEN","YR","A","1996",73.1,
"USA","LIFEEXP","MEN","YR","A","1997",73.6,
"USA","LIFEEXP","MEN","YR","A","1998",73.8,
"USA","LIFEEXP","MEN","YR","A","1999",73.9,
"USA","LIFEEXP","MEN","YR","A","2000",74.1,
"USA","LIFEEXP","MEN","YR","A","2001",74.3,
"USA","LIFEEXP","MEN","YR","A","2002",74.4,
"USA","LIFEEXP","MEN","YR","A","2003",74.5,
"USA","LIFEEXP","MEN","YR","A","2004",75,
"USA","LIFEEXP","MEN","YR","A","2005",75,
"USA","LIFEEXP","MEN","YR","A","2006",75.2,
"USA","LIFEEXP","MEN","YR","A","2007",75.5,
"USA","LIFEEXP","MEN","YR","A","2008",75.6,
"USA","LIFEEXP","MEN","YR","A","2009",76,
"USA","LIFEEXP","MEN","YR","A","2010",76.2,
"USA","LIFEEXP","MEN","YR","A","2011",76.3,
"USA","LIFEEXP","MEN","YR","A","2012",76.4,
"USA","LIFEEXP","MEN","YR","A","2013",76.4,
"USA","LIFEEXP","MEN","YR","A","2014",76.5,
"USA","LIFEEXP","MEN","YR","A","2015",76.3,
"USA","LIFEEXP","MEN","YR","A","2016",76.2,
"USA","LIFEEXP","MEN","YR","A","2017",76.1,
"USA","LIFEEXP","MEN","YR","A","2018",76.2,
"USA","LIFEEXP","MEN","YR","A","2019",76.3,
"USA","LIFEEXP","MEN","YR","A","2020",74.2,
