Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation (low resolution) daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Shortwave Radiation daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Wind Speed daily mean [80 m above gnd],Wind Direction daily mean [80 m above gnd],Wind Speed daily mean [900 mb],Wind Direction daily mean [900 mb],Wind Gust daily mean [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd],Wind Speed daily max [80 m above gnd],Wind Speed daily min [80 m above gnd],Wind Speed daily max [900 mb],Wind Speed daily min [900 mb],Wind Gust daily max [sfc],Wind Gust daily min [sfc]
2000,1,1,0,0,26.98,61.46,1006.71,2.10,69.88,83.62,66.00,20.71,-853.63,3323.26,2.45,218.96,4.33,201.64,11.11,250.49,8.11,30.05,24.63,79.00,47.00,1009.70,1003.60,100.00,15.00,100.00,10.00,100.00,0.00,100.00,0.00,5.13,0.08,7.88,0.17,18.62,1.00,12.30,4.03
2000,1,2,0,0,24.44,82.12,1007.59,6.70,69.92,56.96,69.67,30.46,98.91,3036.68,3.20,230.13,4.79,223.71,9.75,215.32,9.16,27.23,22.63,91.00,75.00,1010.30,1004.80,100.00,5.10,100.00,0.00,100.00,4.00,100.00,0.00,4.31,1.62,6.59,2.29,17.01,4.82,13.42,4.47
2000,1,3,0,0,26.85,65.00,1005.89,0.00,37.36,25.46,35.08,1.25,452.46,6500.56,3.77,314.27,6.27,303.28,13.75,289.12,9.90,31.71,22.28,92.00,43.00,1008.60,1002.60,100.00,0.00,100.00,0.00,100.00,0.00,10.00,0.00,7.87,0.88,9.07,2.81,20.32,5.63,13.65,3.80
2000,1,4,0,0,28.15,54.62,1005.32,0.00,8.93,14.58,5.62,2.08,663.74,7225.02,4.75,321.10,6.80,315.79,17.79,300.34,11.67,33.07,23.29,79.00,36.00,1008.20,1002.20,21.00,0.00,57.00,0.00,21.00,0.00,10.00,0.00,8.05,2.74,8.59,4.73,23.21,11.62,14.76,7.38
2000,1,5,0,0,27.95,52.29,1006.27,0.50,34.83,28.50,32.92,12.21,311.66,5549.15,3.90,280.06,6.45,319.62,14.23,305.91,11.89,31.48,24.26,69.00,40.00,1008.80,1003.70,100.00,0.00,100.00,0.00,100.00,0.00,86.00,0.00,7.49,1.27,9.14,2.47,21.67,8.27,15.66,6.71
2000,1,6,0,0,27.56,55.67,1007.78,0.80,51.22,43.67,49.25,13.58,304.60,5275.92,1.40,218.14,2.66,224.68,6.56,287.87,5.33,31.61,24.11,67.00,41.00,1010.50,1005.10,100.00,0.90,100.00,0.00,100.00,0.00,85.00,0.00,2.52,0.42,6.68,0.85,13.70,1.45,12.08,1.79
2000,1,7,0,0,26.52,67.46,1008.20,2.60,80.42,56.62,80.04,27.62,193.42,5109.49,1.85,108.35,3.35,88.35,3.89,155.92,4.73,29.65,24.39,77.00,56.00,1011.40,1005.10,100.00,3.00,100.00,0.00,100.00,1.00,91.00,0.00,3.97,0.48,5.62,0.94,6.58,0.94,8.28,0.89
2000,1,8,0,0,27.50,60.33,1007.12,0.20,44.57,25.75,43.12,4.62,505.96,6689.24,2.04,207.24,3.27,231.20,5.31,292.71,4.69,31.50,24.01,79.00,44.00,1009.70,1003.60,100.00,0.00,100.00,0.00,100.00,0.00,70.00,0.00,5.03,0.58,6.18,0.49,8.26,1.74,8.72,0.45
2000,1,9,0,0,27.76,55.38,1006.85,1.20,31.96,14.25,30.92,20.00,446.22,5153.99,1.62,190.64,3.97,183.37,5.14,194.37,6.02,31.82,23.56,75.00,39.00,1009.10,1003.50,100.00,0.00,100.00,0.00,100.00,0.00,81.00,0.00,2.33,0.21,7.40,0.30,8.85,0.50,8.05,1.79
2000,1,10,0,0,27.54,58.42,1006.99,1.00,40.60,33.62,19.83,35.46,385.53,5287.49,2.06,136.62,4.57,143.42,5.07,188.13,5.18,30.46,24.71,73.00,45.00,1008.80,1003.90,100.00,6.60,79.00,2.00,79.00,0.00,100.00,0.00,3.30,0.21,7.32,2.12,9.07,2.57,9.17,0.00
